productTitle,originalPrice,price,sold,tagText,price_clean,original_price_clean,has_discount,discount_pct,free_shipping,category,title_length,title_word_count,price_tier,category_encoded,price_tier_encoded,log_price
Dresser For Bedroom With 9 Fabric Drawers Wardrobe Steel Frame Assembly Closet For Clothes Storage Display Cabinet Of Furniture,,$46.79,600,Free shipping,46.79,,False,0.0,1,Bed,127,19,Budget (<$50),0,0,3.866816412590067
"Outdoor Conversation Set 4 Pieces Patio Furniture, Wicker Patio Chair Sofa Set w/ Water-Resistant Dark-Brown Cushion & Tempered",,$169.72,0,Free shipping,169.72,,False,0.0,1,Chair,127,18,Premium ($150-300),2,2,5.140024787553443
Desser For Bedroom With 7 Fabric Drawers Organizer Storage Closet Chest Clothes For Living Room Display Cabinet Of Furniture,$78.4,$39.46,7,Free shipping,39.46,78.4,True,49.66836734693878,1,Bed,124,19,Budget (<$50),0,0,3.7003138317395994
"Modern Accent Boucle Chair,Upholstered Tufted Creative Furniture Sofa Couch Lounge Reading Chair for Living Room Home Decorative",,$111.99,0,Free shipping,111.99,,False,0.0,1,Chair,128,17,Mid-Range ($50-150),2,1,4.727299319221155
Small Unit Simple Computer Desk Household Wooden Minimalist Tea Table Wooden Minimalist Small Makeup Table Home Furniture,$48.82,$21.37,1,Free shipping,21.37,48.82,True,56.22695616550594,1,Table,121,17,Budget (<$50),9,0,3.107720775502038
"3 Pieces Patio Furniture Set, Outdoor Swivel Glider Rocker, Wicker Bistro Set with Rattan Rocking Chair, Glass Top Table","$1,294.04",$123.4,53,Free shipping,123.4,1294.04,True,90.46397329294302,1,Chair,120,19,Mid-Range ($50-150),2,1,4.823502180305079
"5-Piece Patio Furniture Set Outdoor Couch with Glass Coffee Table and Two Pillows, Outdoor Sectional Conversation Set",,$198.31,1,Free shipping,198.31,,False,0.0,1,Table,117,17,Premium ($150-300),9,2,5.2948614015746465
"Living Room Furniture, Modern 3-Piece Including Three-Seater, Loveseat and Single Chair,Dutch Velvet Upholstered Sofa Set","$1,474.17",$734.58,5,Free shipping,734.58,1474.17,True,50.16992612792283,1,Chair,121,15,Luxury ($300+),2,3,6.6006593036710415
TV Stand Dresser For Bedroom With 5 Fabric Drawers Organizer Storage Closet Chest Clothes Storage Display Cabinet Of Furniture,,$43.96,3,,43.96,,False,0.0,0,Bed,126,19,Budget (<$50),0,0,3.8057732055854356
"Outdoor Furniture Set 3 Pieces Wicker Patio Furniture Outdoor Sectional Patio Couch Outdoor Coffee Table,Khaki",,$233.3,0,Free shipping,233.3,,False,0.0,1,Table,110,15,Premium ($150-300),9,2,5.45660234551375
"4 Pieces Patio Furniture Set, Outdoor Rattan Woven Conversation Sectional L-Shaped Sofa with 5 Seater for Backyard",,$244.17,1,Free shipping,244.17,,False,0.0,1,Sofa,114,17,Premium ($150-300),7,2,5.501951847474021
"Jela kids couch 14PCs luxury, floor sofa modular furniture for adults, Playhouse play set toddlers babies, Modul",,$238.18,0,Free shipping,238.18,,False,0.0,1,Sofa,112,17,Premium ($150-300),7,2,5.477216406540661
"3/4/5 Piece Boho Outdoor Patio Furniture Sets with Egg Chair and Ice Bucket, Small L Shape Wicker Conversation Sectional Sofa",,$495.8,0,Free shipping,495.8,,False,0.0,1,Chair,125,20,Luxury ($300+),2,3,6.208187530619269
"3 PCS Patio Conversation Set, Solid Eucalyptus Wood Frame Outdoor Wicker Furniture Set Bistro Set with Coffee Table",,$117.66,0,Free shipping,117.66,,False,0.0,1,Table,115,18,Mid-Range ($50-150),9,1,4.776262260830497
Modern luxury lounge chair home furniture hotel bedroom lounge chair living room accent chair,,$978.88,0,Free shipping,978.88,,False,0.0,1,Chair,93,14,Luxury ($300+),2,3,6.887430115187537
"Furniture Contemporary Reversible Sectional Sleeper Sectional Sofa with Storage Chaise in Dark Gray Fabric, free shipping",,$440.94,0,Free shipping,440.94,,False,0.0,1,Sofa,121,16,Luxury ($300+),7,3,6.091174126256959
"Patio Furniture Sets - 3 Pieces Rattan Sofa Set, Outdoor Conversation Set with Tempered Glass Tabletop, Outdoor Furniture Sets",,$183.3,0,Free shipping,183.3,,False,0.0,1,Table,126,19,Premium ($150-300),9,2,5.216564864675778
"Patio Dining Set Outdoor Furniture with 6 Stackable Textilene Chairs and Large Table for Yard, Garden Porch and Poolside, Grey",,$60.28,4,Free shipping,60.28,,False,0.0,1,Chair,126,20,Mid-Range ($50-150),2,1,4.1154535254323354
7 Pieces Patio Furniture Set - Outdoor Sectional Wicker Rattan Furniture with Cushion and Glass Table Patio Conversation,,$376.5,0,Free shipping,376.5,,False,0.0,1,Table,120,18,Luxury ($300+),9,3,5.933570568689079
"47"" Small Modern Loveseat Couch Sofa, Fabric Upholstered 2-Seat Sofa, Love Seat Furniture with 2 Pillows, Wood Leg Sofas",,$204.93,0,Free shipping,204.93,,False,0.0,1,Sofa,120,19,Premium ($150-300),7,2,5.327536305217257
7-piece patio furniture set modular wicker outdoor sectional sofa PE rattan outdoor set with pillowtop cushions and coffee table,$671.47,$331.24,39,Free shipping,331.24,671.47,True,50.66942678004974,1,Table,128,19,Luxury ($300+),9,3,5.805857599322498
Patio Furniture Sets All Weather Outdoor Sectional Sofa Manual Weaving Wicker Rattan Patio Seating Sofas with Cushion & Table,,$276.65,0,Free shipping,276.65,,False,0.0,1,Table,125,19,Premium ($150-300),9,2,5.626361327687616
Office Furniture Computer Stand 42*26cm Adjustable Foldable Laptop Holder Notebook Desks Lap PC Folding Desk Table Vented Stand,$56.58,$26.03,1000,Free shipping,26.03,56.58,True,53.994344291268995,1,Table,127,18,Budget (<$50),9,0,3.2969473602883563
"4-Piece Outdoor Patio Furniture Set,Wicker Rattan Sectional Sofa Couch with Glass Coffee Table|Black Easy Cleaning and Stronger",,$321.05,1,Free shipping,321.05,,False,0.0,1,Table,127,17,Luxury ($300+),9,3,5.7747068129929
5 Pieces Patio Furniture Set Outdoor Sectional Rattan Daybed Conversation Sofa Set Wicker Couch with & Tempered Glass,,$219.63,0,Free shipping,219.63,,False,0.0,1,Sofa,117,18,Premium ($150-300),7,2,5.396487090320281
"6Pieces Wicker Patio Furniture Sets Outdoor Conversation Set PE Rattan Sectional Sofa Couch with 30"" Fire Pit Table and Cushions",,$574.86,0,Free shipping,574.86,,False,0.0,1,Table,128,20,Luxury ($300+),9,3,6.355864575597547
"Aluminum Patio Furniture Set, Modern Patio Conversation Set, All Weather Dark Grey Outdoor Sectional Sofa Set w/Table",,$497.44,1,Free shipping,497.44,,False,0.0,1,Table,117,17,Luxury ($300+),9,3,6.211483221074666
